x,y,outer_radius,inner_radius,num_peaks,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.54,0.45,0.43,0.13,5,black,90.0,interpolate,2,200,200,white,draw_star,40.png
0.46,0.46,0.41,0.25,7,black,140.0,interpolate,2,200,200,white,draw_star,41.png
0.47,0.51,0.39,0.12,3,black,20.0,interpolate,3,200,200,white,draw_star,42.png
0.54,0.53,0.43,0.1,7,black,150.0,interpolate,3,200,200,white,draw_star,43.png
0.46,0.51,0.35,0.13,5,black,100.0,interpolate,1,200,200,white,draw_star,44.png
0.55,0.45,0.41,0.12,3,black,70.0,interpolate,2,200,200,white,draw_star,45.png
0.55,0.51,0.39,0.16,5,black,120.0,interpolate,2,200,200,white,draw_star,46.png
0.45,0.49,0.35,0.12,3,black,70.0,interpolate,2,200,200,white,draw_star,47.png
0.52,0.52,0.41,0.15,3,black,150.0,interpolate,2,200,200,white,draw_star,48.png
0.55,0.49,0.37,0.19,5,black,40.0,interpolate,1,200,200,white,draw_star,49.png
0.51,0.51,0.39,0.1,4,black,170.0,interpolate,1,200,200,white,draw_star,50.png
0.53,0.51,0.35,0.2,4,black,60.0,interpolate,2,200,200,white,draw_star,51.png
0.54,0.46,0.43,0.14,4,black,40.0,interpolate,2,200,200,white,draw_star,52.png
0.46,0.48,0.39,0.1,5,black,0.0,interpolate,2,200,200,white,draw_star,53.png
0.52,0.45,0.37,0.19,6,black,100.0,interpolate,2,200,200,white,draw_star,54.png
0.5,0.49,0.43,0.13,5,black,80.0,interpolate,2,200,200,white,draw_star,55.png
0.46,0.48,0.45,0.1,6,black,120.0,interpolate,1,200,200,white,draw_star,56.png
0.46,0.51,0.37,0.1,3,black,150.0,interpolate,2,200,200,white,draw_star,57.png
0.53,0.55,0.35,0.18,4,black,50.0,interpolate,1,200,200,white,draw_star,58.png
0.48,0.54,0.43,0.22,5,black,120.0,interpolate,1,200,200,white,draw_star,59.png
0.54,0.46,0.41,0.1,4,black,80.0,interpolate,1,200,200,white,draw_star,60.png
0.45,0.53,0.41,0.14,3,black,100.0,interpolate,2,200,200,white,draw_star,61.png
0.49,0.46,0.41,0.22,7,black,10.0,interpolate,2,200,200,white,draw_star,62.png
0.49,0.51,0.39,0.19,5,black,80.0,interpolate,1,200,200,white,draw_star,63.png
0.5,0.51,0.45,0.1,6,black,10.0,interpolate,2,200,200,white,draw_star,64.png
0.47,0.45,0.43,0.16,7,black,20.0,interpolate,1,200,200,white,draw_star,65.png
0.5,0.47,0.37,0.12,4,black,0.0,interpolate,1,200,200,white,draw_star,66.png
0.54,0.47,0.45,0.1,7,black,130.0,interpolate,3,200,200,white,draw_star,67.png
0.53,0.49,0.41,0.15,3,black,20.0,interpolate,2,200,200,white,draw_star,68.png
0.46,0.5,0.43,0.22,6,black,10.0,interpolate,3,200,200,white,draw_star,69.png
0.5,0.54,0.37,0.18,4,black,40.0,interpolate,2,200,200,white,draw_star,70.png
0.46,0.53,0.45,0.25,6,black,20.0,interpolate,1,200,200,white,draw_star,71.png
0.52,0.46,0.41,0.19,7,black,60.0,interpolate,2,200,200,white,draw_star,72.png
0.53,0.54,0.35,0.13,7,black,170.0,interpolate,1,200,200,white,draw_star,73.png
0.47,0.45,0.39,0.25,5,black,90.0,interpolate,3,200,200,white,draw_star,74.png
0.52,0.46,0.39,0.16,7,black,10.0,interpolate,2,200,200,white,draw_star,75.png
0.55,0.52,0.43,0.16,5,black,20.0,interpolate,1,200,200,white,draw_star,76.png
0.48,0.55,0.39,0.22,7,black,140.0,interpolate,1,200,200,white,draw_star,77.png
0.55,0.47,0.39,0.22,5,black,130.0,interpolate,2,200,200,white,draw_star,78.png
0.48,0.49,0.43,0.14,3,black,80.0,interpolate,3,200,200,white,draw_star,79.png
0.47,0.51,0.39,0.14,3,black,50.0,interpolate,2,200,200,white,draw_star,80.png
0.5,0.5,0.35,0.25,6,black,80.0,interpolate,1,200,200,white,draw_star,81.png
0.52,0.51,0.37,0.13,3,black,30.0,interpolate,3,200,200,white,draw_star,82.png
0.52,0.46,0.39,0.22,7,black,80.0,interpolate,3,200,200,white,draw_star,83.png
0.51,0.52,0.35,0.13,3,black,100.0,interpolate,3,200,200,white,draw_star,84.png
0.48,0.5,0.39,0.13,5,black,40.0,interpolate,3,200,200,white,draw_star,85.png
0.48,0.47,0.37,0.22,6,black,0.0,interpolate,3,200,200,white,draw_star,86.png
0.49,0.5,0.37,0.22,7,black,70.0,interpolate,1,200,200,white,draw_star,87.png
0.45,0.46,0.35,0.19,7,black,170.0,interpolate,1,200,200,white,draw_star,88.png
0.49,0.49,0.37,0.13,3,black,30.0,interpolate,3,200,200,white,draw_star,89.png
0.49,0.51,0.41,0.16,4,black,10.0,interpolate,1,200,200,white,draw_star,90.png
0.48,0.47,0.43,0.25,6,black,150.0,interpolate,1,200,200,white,draw_star,91.png
0.54,0.46,0.37,0.25,6,black,10.0,interpolate,2,200,200,white,draw_star,92.png
0.46,0.55,0.39,0.16,7,black,150.0,interpolate,3,200,200,white,draw_star,93.png
0.45,0.5,0.37,0.13,7,black,100.0,interpolate,3,200,200,white,draw_star,94.png
0.5,0.46,0.41,0.11,3,black,90.0,interpolate,1,200,200,white,draw_star,95.png
0.54,0.46,0.39,0.19,6,black,70.0,interpolate,1,200,200,white,draw_star,96.png
0.5,0.55,0.45,0.1,4,black,90.0,interpolate,2,200,200,white,draw_star,97.png
0.54,0.49,0.37,0.25,6,black,0.0,interpolate,1,200,200,white,draw_star,98.png
0.47,0.48,0.37,0.14,3,black,140.0,interpolate,3,200,200,white,draw_star,99.png
0.52,0.55,0.41,0.16,5,black,90.0,interpolate,1,200,200,white,draw_star,100.png
0.51,0.54,0.37,0.19,6,black,160.0,interpolate,1,200,200,white,draw_star,101.png
0.53,0.55,0.39,0.25,6,black,30.0,interpolate,1,200,200,white,draw_star,102.png
0.52,0.51,0.37,0.13,7,black,130.0,interpolate,3,200,200,white,draw_star,103.png
0.53,0.55,0.43,0.13,3,black,70.0,interpolate,3,200,200,white,draw_star,104.png
0.5,0.48,0.45,0.16,6,black,140.0,interpolate,3,200,200,white,draw_star,105.png
0.5,0.45,0.45,0.2,4,black,140.0,interpolate,2,200,200,white,draw_star,106.png
0.55,0.45,0.39,0.1,3,black,170.0,interpolate,1,200,200,white,draw_star,107.png
0.48,0.48,0.35,0.11,3,black,20.0,interpolate,3,200,200,white,draw_star,108.png
0.54,0.48,0.39,0.18,4,black,110.0,interpolate,3,200,200,white,draw_star,109.png
0.47,0.47,0.39,0.1,7,black,160.0,interpolate,2,200,200,white,draw_star,110.png
0.55,0.53,0.39,0.19,6,black,90.0,interpolate,1,200,200,white,draw_star,111.png
0.52,0.5,0.41,0.15,3,black,50.0,interpolate,2,200,200,white,draw_star,112.png
0.53,0.46,0.39,0.14,4,black,140.0,interpolate,1,200,200,white,draw_star,113.png
0.49,0.55,0.41,0.2,4,black,30.0,interpolate,3,200,200,white,draw_star,114.png
0.45,0.48,0.37,0.1,3,black,60.0,interpolate,3,200,200,white,draw_star,115.png
0.54,0.46,0.35,0.14,4,black,100.0,interpolate,2,200,200,white,draw_star,116.png
0.55,0.46,0.39,0.12,3,black,100.0,interpolate,3,200,200,white,draw_star,117.png
0.49,0.5,0.39,0.13,3,black,90.0,interpolate,2,200,200,white,draw_star,118.png
0.52,0.45,0.45,0.1,3,black,150.0,interpolate,2,200,200,white,draw_star,119.png
0.52,0.53,0.45,0.12,4,black,70.0,interpolate,3,200,200,white,draw_star,120.png
0.48,0.48,0.45,0.1,7,black,30.0,interpolate,1,200,200,white,draw_star,121.png
0.47,0.53,0.35,0.15,3,black,130.0,interpolate,3,200,200,white,draw_star,122.png
0.52,0.49,0.37,0.22,5,black,70.0,interpolate,1,200,200,white,draw_star,123.png
0.52,0.55,0.35,0.19,6,black,70.0,interpolate,2,200,200,white,draw_star,124.png
0.49,0.49,0.37,0.19,5,black,90.0,interpolate,3,200,200,white,draw_star,125.png
0.55,0.46,0.41,0.25,5,black,170.0,interpolate,2,200,200,white,draw_star,126.png
0.46,0.5,0.43,0.16,7,black,40.0,interpolate,3,200,200,white,draw_star,127.png
0.55,0.54,0.39,0.18,4,black,40.0,interpolate,2,200,200,white,draw_star,128.png
0.55,0.46,0.41,0.22,7,black,130.0,interpolate,3,200,200,white,draw_star,129.png
0.53,0.45,0.45,0.12,3,black,170.0,interpolate,1,200,200,white,draw_star,130.png
0.49,0.45,0.35,0.22,6,black,110.0,interpolate,3,200,200,white,draw_star,131.png
0.53,0.45,0.39,0.2,4,black,40.0,interpolate,3,200,200,white,draw_star,132.png
0.54,0.47,0.39,0.22,6,black,10.0,interpolate,2,200,200,white,draw_star,133.png
0.45,0.53,0.41,0.19,5,black,110.0,interpolate,1,200,200,white,draw_star,134.png
0.47,0.49,0.43,0.11,3,black,50.0,interpolate,3,200,200,white,draw_star,135.png
0.48,0.48,0.43,0.22,5,black,160.0,interpolate,3,200,200,white,draw_star,136.png
0.55,0.51,0.37,0.1,5,black,60.0,interpolate,2,200,200,white,draw_star,137.png
0.53,0.51,0.37,0.1,6,black,0.0,interpolate,3,200,200,white,draw_star,138.png
0.52,0.54,0.41,0.1,7,black,20.0,interpolate,2,200,200,white,draw_star,139.png
0.47,0.49,0.45,0.19,6,black,20.0,interpolate,1,200,200,white,draw_star,140.png
0.5,0.46,0.39,0.19,6,black,60.0,interpolate,3,200,200,white,draw_star,141.png
0.54,0.54,0.35,0.1,4,black,120.0,interpolate,3,200,200,white,draw_star,142.png
0.45,0.47,0.41,0.16,4,black,80.0,interpolate,3,200,200,white,draw_star,143.png
0.45,0.52,0.37,0.25,6,black,110.0,interpolate,1,200,200,white,draw_star,144.png
0.5,0.52,0.45,0.16,7,black,10.0,interpolate,3,200,200,white,draw_star,145.png
0.48,0.49,0.41,0.22,6,black,130.0,interpolate,1,200,200,white,draw_star,146.png
0.5,0.45,0.35,0.16,5,black,80.0,interpolate,3,200,200,white,draw_star,147.png
0.52,0.53,0.45,0.13,3,black,120.0,interpolate,3,200,200,white,draw_star,148.png
0.51,0.53,0.43,0.19,7,black,150.0,interpolate,3,200,200,white,draw_star,149.png
0.49,0.48,0.39,0.16,7,black,10.0,interpolate,3,200,200,white,draw_star,150.png
0.52,0.52,0.45,0.18,4,black,40.0,interpolate,2,200,200,white,draw_star,151.png
0.48,0.49,0.37,0.19,6,black,160.0,interpolate,2,200,200,white,draw_star,152.png
0.49,0.49,0.43,0.13,5,black,130.0,interpolate,2,200,200,white,draw_star,153.png
0.47,0.55,0.39,0.16,5,black,20.0,interpolate,1,200,200,white,draw_star,154.png
0.51,0.52,0.41,0.25,6,black,0.0,interpolate,1,200,200,white,draw_star,155.png
0.49,0.47,0.37,0.13,5,black,140.0,interpolate,1,200,200,white,draw_star,156.png
0.46,0.52,0.41,0.1,3,black,150.0,interpolate,2,200,200,white,draw_star,157.png
0.54,0.5,0.39,0.12,3,black,80.0,interpolate,3,200,200,white,draw_star,158.png
0.54,0.54,0.35,0.1,5,black,90.0,interpolate,2,200,200,white,draw_star,159.png
0.5,0.55,0.41,0.14,4,black,110.0,interpolate,1,200,200,white,draw_star,160.png
0.46,0.47,0.35,0.15,3,black,150.0,interpolate,3,200,200,white,draw_star,161.png
0.46,0.54,0.45,0.1,6,black,90.0,interpolate,3,200,200,white,draw_star,162.png
0.52,0.51,0.35,0.25,5,black,140.0,interpolate,3,200,200,white,draw_star,163.png
0.46,0.45,0.45,0.25,6,black,30.0,interpolate,1,200,200,white,draw_star,164.png
0.48,0.55,0.45,0.14,3,black,160.0,interpolate,1,200,200,white,draw_star,165.png
0.46,0.49,0.39,0.1,5,black,30.0,interpolate,3,200,200,white,draw_star,166.png
0.54,0.45,0.37,0.2,4,black,20.0,interpolate,1,200,200,white,draw_star,167.png
0.53,0.51,0.35,0.13,6,black,110.0,interpolate,3,200,200,white,draw_star,168.png
0.48,0.5,0.37,0.25,6,black,120.0,interpolate,2,200,200,white,draw_star,169.png
0.5,0.49,0.43,0.13,7,black,130.0,interpolate,2,200,200,white,draw_star,170.png
0.46,0.49,0.41,0.22,5,black,160.0,interpolate,1,200,200,white,draw_star,171.png
0.54,0.52,0.35,0.25,5,black,20.0,interpolate,1,200,200,white,draw_star,172.png
0.48,0.51,0.45,0.16,6,black,170.0,interpolate,1,200,200,white,draw_star,173.png
0.51,0.49,0.37,0.16,6,black,80.0,interpolate,3,200,200,white,draw_star,174.png
0.55,0.53,0.45,0.1,6,black,110.0,interpolate,3,200,200,white,draw_star,175.png
0.51,0.5,0.41,0.19,6,black,10.0,interpolate,2,200,200,white,draw_star,176.png
0.52,0.46,0.37,0.1,5,black,10.0,interpolate,1,200,200,white,draw_star,177.png
0.47,0.49,0.41,0.22,7,black,130.0,interpolate,3,200,200,white,draw_star,178.png
0.51,0.46,0.37,0.16,7,black,50.0,interpolate,1,200,200,white,draw_star,179.png
0.55,0.45,0.35,0.13,5,black,100.0,interpolate,2,200,200,white,draw_star,180.png
0.49,0.47,0.37,0.16,5,black,70.0,interpolate,1,200,200,white,draw_star,181.png
0.5,0.48,0.39,0.25,6,black,160.0,interpolate,1,200,200,white,draw_star,182.png
0.53,0.53,0.39,0.16,4,black,130.0,interpolate,2,200,200,white,draw_star,183.png
0.55,0.46,0.37,0.1,5,black,50.0,interpolate,2,200,200,white,draw_star,184.png
0.49,0.48,0.45,0.19,6,black,160.0,interpolate,2,200,200,white,draw_star,185.png
0.5,0.53,0.37,0.25,7,black,50.0,interpolate,3,200,200,white,draw_star,186.png
0.47,0.53,0.43,0.19,7,black,150.0,interpolate,2,200,200,white,draw_star,187.png
0.48,0.48,0.35,0.14,3,black,70.0,interpolate,1,200,200,white,draw_star,188.png
0.52,0.51,0.43,0.12,4,black,100.0,interpolate,1,200,200,white,draw_star,189.png
0.46,0.45,0.39,0.12,4,black,40.0,interpolate,3,200,200,white,draw_star,190.png
0.48,0.52,0.37,0.22,7,black,20.0,interpolate,1,200,200,white,draw_star,191.png
0.46,0.47,0.41,0.1,4,black,60.0,interpolate,2,200,200,white,draw_star,192.png
0.47,0.48,0.35,0.25,5,black,0.0,interpolate,3,200,200,white,draw_star,193.png
0.54,0.47,0.35,0.12,4,black,50.0,interpolate,2,200,200,white,draw_star,194.png
0.54,0.49,0.45,0.19,7,black,90.0,interpolate,1,200,200,white,draw_star,195.png
0.51,0.47,0.45,0.25,6,black,40.0,interpolate,1,200,200,white,draw_star,196.png
0.54,0.52,0.37,0.19,5,black,90.0,interpolate,1,200,200,white,draw_star,197.png
0.52,0.51,0.43,0.16,4,black,130.0,interpolate,3,200,200,white,draw_star,198.png
0.5,0.55,0.39,0.2,4,black,130.0,interpolate,2,200,200,white,draw_star,199.png
0.51,0.51,0.43,0.18,4,black,20.0,interpolate,3,200,200,white,draw_star,200.png
0.45,0.49,0.45,0.19,5,black,80.0,interpolate,1,200,200,white,draw_star,201.png
0.45,0.55,0.37,0.12,4,black,110.0,interpolate,3,200,200,white,draw_star,202.png
0.49,0.52,0.45,0.1,3,black,80.0,interpolate,1,200,200,white,draw_star,203.png
0.52,0.55,0.35,0.19,7,black,80.0,interpolate,1,200,200,white,draw_star,204.png
0.46,0.47,0.41,0.25,5,black,150.0,interpolate,1,200,200,white,draw_star,205.png
0.54,0.47,0.37,0.16,7,black,150.0,interpolate,3,200,200,white,draw_star,206.png
0.49,0.55,0.45,0.14,4,black,60.0,interpolate,1,200,200,white,draw_star,207.png
0.54,0.55,0.39,0.2,4,black,50.0,interpolate,3,200,200,white,draw_star,208.png
0.45,0.54,0.43,0.12,3,black,160.0,interpolate,1,200,200,white,draw_star,209.png
0.45,0.54,0.35,0.13,6,black,60.0,interpolate,1,200,200,white,draw_star,210.png
0.51,0.54,0.41,0.1,6,black,150.0,interpolate,1,200,200,white,draw_star,211.png
0.49,0.48,0.41,0.2,4,black,100.0,interpolate,1,200,200,white,draw_star,212.png
0.45,0.48,0.37,0.18,4,black,20.0,interpolate,1,200,200,white,draw_star,213.png
0.5,0.55,0.43,0.16,6,black,50.0,interpolate,3,200,200,white,draw_star,214.png
0.54,0.48,0.41,0.16,7,black,0.0,interpolate,3,200,200,white,draw_star,215.png
0.54,0.47,0.45,0.2,4,black,140.0,interpolate,3,200,200,white,draw_star,216.png
0.45,0.51,0.37,0.19,5,black,90.0,interpolate,1,200,200,white,draw_star,217.png
0.49,0.49,0.37,0.1,3,black,140.0,interpolate,3,200,200,white,draw_star,218.png
0.55,0.51,0.37,0.19,7,black,130.0,interpolate,1,200,200,white,draw_star,219.png
0.45,0.47,0.43,0.18,4,black,50.0,interpolate,2,200,200,white,draw_star,220.png
0.52,0.53,0.43,0.11,3,black,110.0,interpolate,1,200,200,white,draw_star,221.png
0.48,0.54,0.45,0.19,7,black,40.0,interpolate,2,200,200,white,draw_star,222.png
0.5,0.5,0.43,0.25,5,black,50.0,interpolate,3,200,200,white,draw_star,223.png
0.53,0.47,0.39,0.1,7,black,160.0,interpolate,3,200,200,white,draw_star,224.png
0.52,0.47,0.45,0.12,4,black,80.0,interpolate,3,200,200,white,draw_star,225.png
0.54,0.51,0.41,0.16,6,black,40.0,interpolate,1,200,200,white,draw_star,226.png
0.5,0.51,0.43,0.22,7,black,90.0,interpolate,2,200,200,white,draw_star,227.png
0.47,0.46,0.35,0.22,6,black,60.0,interpolate,1,200,200,white,draw_star,228.png
0.52,0.49,0.37,0.15,3,black,10.0,interpolate,2,200,200,white,draw_star,229.png
0.45,0.53,0.39,0.25,6,black,170.0,interpolate,3,200,200,white,draw_star,230.png
0.48,0.51,0.37,0.14,4,black,100.0,interpolate,1,200,200,white,draw_star,231.png
0.47,0.53,0.41,0.25,5,black,120.0,interpolate,2,200,200,white,draw_star,232.png
0.51,0.49,0.45,0.1,5,black,60.0,interpolate,2,200,200,white,draw_star,233.png
0.46,0.5,0.39,0.16,4,black,100.0,interpolate,1,200,200,white,draw_star,234.png
0.47,0.47,0.43,0.13,6,black,0.0,interpolate,1,200,200,white,draw_star,235.png
0.47,0.55,0.43,0.22,5,black,90.0,interpolate,2,200,200,white,draw_star,236.png
0.5,0.48,0.39,0.1,5,black,140.0,interpolate,3,200,200,white,draw_star,237.png
0.52,0.46,0.41,0.13,5,black,10.0,interpolate,3,200,200,white,draw_star,238.png
0.46,0.55,0.43,0.1,3,black,110.0,interpolate,3,200,200,white,draw_star,239.png
0.54,0.46,0.35,0.14,4,black,140.0,interpolate,2,200,200,white,draw_star,240.png
0.46,0.47,0.45,0.22,5,black,130.0,interpolate,2,200,200,white,draw_star,241.png
0.54,0.46,0.43,0.2,4,black,10.0,interpolate,3,200,200,white,draw_star,242.png
0.55,0.46,0.41,0.18,4,black,70.0,interpolate,1,200,200,white,draw_star,243.png
0.49,0.46,0.37,0.14,4,black,140.0,interpolate,3,200,200,white,draw_star,244.png
0.48,0.53,0.43,0.12,4,black,20.0,interpolate,1,200,200,white,draw_star,245.png
0.55,0.47,0.41,0.1,5,black,10.0,interpolate,1,200,200,white,draw_star,246.png
0.49,0.45,0.37,0.13,5,black,30.0,interpolate,1,200,200,white,draw_star,247.png
0.46,0.53,0.35,0.1,6,black,40.0,interpolate,2,200,200,white,draw_star,248.png
0.45,0.51,0.45,0.19,6,black,160.0,interpolate,3,200,200,white,draw_star,249.png
0.5,0.55,0.41,0.16,7,black,20.0,interpolate,3,200,200,white,draw_star,250.png
0.46,0.51,0.43,0.19,5,black,100.0,interpolate,2,200,200,white,draw_star,251.png
0.55,0.55,0.35,0.18,4,black,170.0,interpolate,2,200,200,white,draw_star,252.png
0.5,0.54,0.37,0.13,5,black,50.0,interpolate,2,200,200,white,draw_star,253.png
0.48,0.55,0.45,0.1,3,black,100.0,interpolate,2,200,200,white,draw_star,254.png
0.51,0.49,0.35,0.13,5,black,40.0,interpolate,1,200,200,white,draw_star,255.png
0.5,0.49,0.37,0.16,6,black,160.0,interpolate,1,200,200,white,draw_star,256.png
0.46,0.54,0.43,0.1,3,black,0.0,interpolate,3,200,200,white,draw_star,257.png
0.55,0.46,0.45,0.19,7,black,40.0,interpolate,2,200,200,white,draw_star,258.png
0.49,0.54,0.45,0.22,6,black,40.0,interpolate,3,200,200,white,draw_star,259.png
0.45,0.52,0.43,0.25,6,black,80.0,interpolate,2,200,200,white,draw_star,260.png
0.53,0.52,0.41,0.19,7,black,170.0,interpolate,2,200,200,white,draw_star,261.png
0.53,0.47,0.35,0.13,7,black,10.0,interpolate,3,200,200,white,draw_star,262.png
0.53,0.55,0.35,0.2,4,black,50.0,interpolate,3,200,200,white,draw_star,263.png
0.51,0.51,0.43,0.22,5,black,170.0,interpolate,1,200,200,white,draw_star,264.png
0.45,0.48,0.37,0.13,5,black,110.0,interpolate,3,200,200,white,draw_star,265.png
0.48,0.45,0.43,0.14,3,black,70.0,interpolate,1,200,200,white,draw_star,266.png
0.55,0.53,0.41,0.22,7,black,30.0,interpolate,3,200,200,white,draw_star,267.png
0.55,0.49,0.43,0.16,6,black,50.0,interpolate,2,200,200,white,draw_star,268.png
0.54,0.47,0.45,0.11,3,black,20.0,interpolate,3,200,200,white,draw_star,269.png
0.48,0.48,0.37,0.1,5,black,150.0,interpolate,2,200,200,white,draw_star,270.png
0.53,0.47,0.37,0.13,7,black,150.0,interpolate,2,200,200,white,draw_star,271.png
0.55,0.53,0.39,0.19,5,black,130.0,interpolate,2,200,200,white,draw_star,272.png
0.51,0.54,0.45,0.2,4,black,50.0,interpolate,1,200,200,white,draw_star,273.png
0.46,0.49,0.39,0.13,6,black,20.0,interpolate,1,200,200,white,draw_star,274.png
0.46,0.53,0.35,0.1,7,black,60.0,interpolate,1,200,200,white,draw_star,275.png
0.47,0.53,0.43,0.25,7,black,10.0,interpolate,2,200,200,white,draw_star,276.png
0.52,0.45,0.41,0.2,4,black,100.0,interpolate,3,200,200,white,draw_star,277.png
0.47,0.49,0.41,0.15,3,black,170.0,interpolate,2,200,200,white,draw_star,278.png
0.46,0.48,0.35,0.11,3,black,70.0,interpolate,1,200,200,white,draw_star,279.png
0.5,0.53,0.35,0.22,5,black,120.0,interpolate,1,200,200,white,draw_star,280.png
0.47,0.51,0.45,0.19,7,black,120.0,interpolate,2,200,200,white,draw_star,281.png
0.48,0.48,0.45,0.11,3,black,70.0,interpolate,1,200,200,white,draw_star,282.png
0.47,0.55,0.37,0.13,5,black,90.0,interpolate,2,200,200,white,draw_star,283.png
0.52,0.54,0.41,0.13,6,black,80.0,interpolate,2,200,200,white,draw_star,284.png
0.54,0.52,0.35,0.16,4,black,40.0,interpolate,1,200,200,white,draw_star,285.png
0.47,0.52,0.39,0.14,3,black,120.0,interpolate,3,200,200,white,draw_star,286.png
0.47,0.51,0.37,0.22,5,black,110.0,interpolate,2,200,200,white,draw_star,287.png
0.47,0.5,0.39,0.19,6,black,30.0,interpolate,2,200,200,white,draw_star,288.png
0.52,0.53,0.37,0.15,3,black,30.0,interpolate,1,200,200,white,draw_star,289.png
0.5,0.5,0.41,0.13,3,black,90.0,interpolate,1,200,200,white,draw_star,290.png
0.46,0.49,0.39,0.1,6,black,90.0,interpolate,2,200,200,white,draw_star,291.png
0.49,0.55,0.37,0.2,4,black,140.0,interpolate,3,200,200,white,draw_star,292.png
0.55,0.48,0.45,0.1,5,black,30.0,interpolate,3,200,200,white,draw_star,293.png
0.5,0.54,0.37,0.22,7,black,130.0,interpolate,3,200,200,white,draw_star,294.png
0.52,0.45,0.39,0.13,3,black,70.0,interpolate,2,200,200,white,draw_star,295.png
0.48,0.55,0.45,0.16,7,black,150.0,interpolate,1,200,200,white,draw_star,296.png
0.48,0.47,0.39,0.16,4,black,70.0,interpolate,1,200,200,white,draw_star,297.png
0.46,0.48,0.39,0.19,6,black,90.0,interpolate,2,200,200,white,draw_star,298.png
0.52,0.5,0.43,0.1,3,black,120.0,interpolate,2,200,200,white,draw_star,299.png
0.46,0.54,0.37,0.19,6,black,120.0,interpolate,1,200,200,white,draw_star,300.png
