x,y,radius,n_points,color,rotation_angle,outline,linewidth,image_width,image_height,background_color,plot_function,file_name
0.54,0.52,0.45,4,black,270.0,,0,64,64,white,draw_polygon,35.png
0.45,0.49,0.4,5,black,300.0,,0,64,64,white,draw_polygon,36.png
0.52,0.48,0.25,5,black,120.0,,0,64,64,white,draw_polygon,37.png
0.49,0.51,0.25,3,black,270.0,,0,64,64,white,draw_polygon,38.png
0.53,0.46,0.4,6,black,0.0,,0,64,64,white,draw_polygon,39.png
0.47,0.46,0.25,6,black,330.0,,0,64,64,white,draw_polygon,40.png
0.52,0.52,0.4,4,black,150.0,,0,64,64,white,draw_polygon,41.png
0.47,0.52,0.25,7,black,300.0,,0,64,64,white,draw_polygon,42.png
0.54,0.46,0.25,3,black,60.0,,0,64,64,white,draw_polygon,43.png
0.49,0.5,0.3,4,black,90.0,,0,64,64,white,draw_polygon,44.png
0.52,0.45,0.15,6,black,180.0,,0,64,64,white,draw_polygon,45.png
0.54,0.49,0.35,7,black,150.0,,0,64,64,white,draw_polygon,46.png
0.55,0.52,0.25,5,black,180.0,,0,64,64,white,draw_polygon,47.png
0.49,0.51,0.2,6,black,180.0,,0,64,64,white,draw_polygon,48.png
0.52,0.46,0.1,7,black,30.0,,0,64,64,white,draw_polygon,49.png
0.48,0.5,0.25,4,black,30.0,,0,64,64,white,draw_polygon,50.png
0.53,0.47,0.15,5,black,120.0,,0,64,64,white,draw_polygon,51.png
0.48,0.54,0.45,4,black,330.0,,0,64,64,white,draw_polygon,52.png
0.52,0.46,0.15,7,black,90.0,,0,64,64,white,draw_polygon,53.png
0.46,0.45,0.35,6,black,60.0,,0,64,64,white,draw_polygon,54.png
0.55,0.46,0.15,5,black,0.0,,0,64,64,white,draw_polygon,55.png
0.5,0.54,0.35,7,black,0.0,,0,64,64,white,draw_polygon,56.png
0.47,0.47,0.2,3,black,30.0,,0,64,64,white,draw_polygon,57.png
0.53,0.55,0.1,3,black,270.0,,0,64,64,white,draw_polygon,58.png
0.5,0.55,0.45,6,black,90.0,,0,64,64,white,draw_polygon,59.png
0.52,0.48,0.35,3,black,180.0,,0,64,64,white,draw_polygon,60.png
0.54,0.54,0.1,5,black,210.0,,0,64,64,white,draw_polygon,61.png
0.5,0.51,0.1,6,black,240.0,,0,64,64,white,draw_polygon,62.png
0.53,0.49,0.2,3,black,120.0,,0,64,64,white,draw_polygon,63.png
0.52,0.55,0.35,6,black,60.0,,0,64,64,white,draw_polygon,64.png
0.47,0.45,0.2,6,black,120.0,,0,64,64,white,draw_polygon,65.png
0.47,0.47,0.4,7,black,30.0,,0,64,64,white,draw_polygon,66.png
0.54,0.55,0.1,6,black,210.0,,0,64,64,white,draw_polygon,67.png
0.47,0.47,0.25,3,black,0.0,,0,64,64,white,draw_polygon,68.png
0.51,0.51,0.4,7,black,30.0,,0,64,64,white,draw_polygon,69.png
0.49,0.45,0.15,4,black,90.0,,0,64,64,white,draw_polygon,70.png
0.53,0.48,0.45,5,black,150.0,,0,64,64,white,draw_polygon,71.png
0.55,0.46,0.25,3,black,270.0,,0,64,64,white,draw_polygon,72.png
0.51,0.5,0.1,3,black,90.0,,0,64,64,white,draw_polygon,73.png
0.47,0.49,0.35,6,black,90.0,,0,64,64,white,draw_polygon,74.png
0.52,0.47,0.3,3,black,30.0,,0,64,64,white,draw_polygon,75.png
0.46,0.49,0.3,7,black,60.0,,0,64,64,white,draw_polygon,76.png
0.46,0.45,0.15,7,black,210.0,,0,64,64,white,draw_polygon,77.png
0.46,0.47,0.25,6,black,180.0,,0,64,64,white,draw_polygon,78.png
0.5,0.48,0.15,5,black,90.0,,0,64,64,white,draw_polygon,79.png
0.45,0.5,0.2,5,black,210.0,,0,64,64,white,draw_polygon,80.png
0.52,0.45,0.3,5,black,30.0,,0,64,64,white,draw_polygon,81.png
0.48,0.49,0.3,7,black,330.0,,0,64,64,white,draw_polygon,82.png
0.52,0.46,0.15,6,black,120.0,,0,64,64,white,draw_polygon,83.png
0.48,0.5,0.2,5,black,120.0,,0,64,64,white,draw_polygon,84.png
0.55,0.47,0.1,4,black,300.0,,0,64,64,white,draw_polygon,85.png
0.52,0.48,0.3,4,black,330.0,,0,64,64,white,draw_polygon,86.png
0.49,0.46,0.15,4,black,210.0,,0,64,64,white,draw_polygon,87.png
0.46,0.48,0.45,3,black,180.0,,0,64,64,white,draw_polygon,88.png
0.49,0.51,0.25,6,black,270.0,,0,64,64,white,draw_polygon,89.png
0.48,0.51,0.25,3,black,180.0,,0,64,64,white,draw_polygon,90.png
0.51,0.53,0.1,3,black,300.0,,0,64,64,white,draw_polygon,91.png
0.48,0.53,0.3,7,black,180.0,,0,64,64,white,draw_polygon,92.png
0.54,0.52,0.15,4,black,210.0,,0,64,64,white,draw_polygon,93.png
0.5,0.52,0.1,6,black,150.0,,0,64,64,white,draw_polygon,94.png
0.51,0.53,0.45,6,black,60.0,,0,64,64,white,draw_polygon,95.png
0.47,0.52,0.4,5,black,60.0,,0,64,64,white,draw_polygon,96.png
0.48,0.47,0.2,4,black,90.0,,0,64,64,white,draw_polygon,97.png
0.46,0.54,0.25,4,black,210.0,,0,64,64,white,draw_polygon,98.png
0.46,0.48,0.35,3,black,0.0,,0,64,64,white,draw_polygon,99.png
0.52,0.52,0.3,7,black,30.0,,0,64,64,white,draw_polygon,100.png
0.54,0.53,0.1,3,black,210.0,,0,64,64,white,draw_polygon,101.png
0.46,0.5,0.2,5,black,0.0,,0,64,64,white,draw_polygon,102.png
0.53,0.53,0.3,4,black,330.0,,0,64,64,white,draw_polygon,103.png
0.54,0.54,0.3,5,black,60.0,,0,64,64,white,draw_polygon,104.png
0.55,0.48,0.15,3,black,0.0,,0,64,64,white,draw_polygon,105.png
0.51,0.46,0.2,5,black,180.0,,0,64,64,white,draw_polygon,106.png
0.47,0.55,0.25,7,black,330.0,,0,64,64,white,draw_polygon,107.png
0.49,0.45,0.4,5,black,240.0,,0,64,64,white,draw_polygon,108.png
0.51,0.53,0.25,7,black,0.0,,0,64,64,white,draw_polygon,109.png
0.46,0.53,0.25,5,black,330.0,,0,64,64,white,draw_polygon,110.png
0.54,0.47,0.4,3,black,120.0,,0,64,64,white,draw_polygon,111.png
0.52,0.48,0.45,4,black,300.0,,0,64,64,white,draw_polygon,112.png
0.46,0.47,0.35,6,black,0.0,,0,64,64,white,draw_polygon,113.png
0.49,0.53,0.2,4,black,300.0,,0,64,64,white,draw_polygon,114.png
0.47,0.45,0.4,6,black,150.0,,0,64,64,white,draw_polygon,115.png
0.5,0.51,0.2,6,black,300.0,,0,64,64,white,draw_polygon,116.png
0.45,0.49,0.3,7,black,150.0,,0,64,64,white,draw_polygon,117.png
0.45,0.52,0.35,3,black,120.0,,0,64,64,white,draw_polygon,118.png
0.52,0.54,0.15,3,black,90.0,,0,64,64,white,draw_polygon,119.png
0.5,0.46,0.4,6,black,30.0,,0,64,64,white,draw_polygon,120.png
0.49,0.54,0.35,6,black,120.0,,0,64,64,white,draw_polygon,121.png
0.45,0.48,0.15,5,black,210.0,,0,64,64,white,draw_polygon,122.png
0.47,0.45,0.15,5,black,300.0,,0,64,64,white,draw_polygon,123.png
0.55,0.45,0.3,4,black,90.0,,0,64,64,white,draw_polygon,124.png
0.47,0.53,0.4,5,black,90.0,,0,64,64,white,draw_polygon,125.png
0.53,0.5,0.4,6,black,0.0,,0,64,64,white,draw_polygon,126.png
0.45,0.46,0.35,7,black,180.0,,0,64,64,white,draw_polygon,127.png
0.47,0.53,0.2,6,black,180.0,,0,64,64,white,draw_polygon,128.png
0.54,0.55,0.45,4,black,60.0,,0,64,64,white,draw_polygon,129.png
0.54,0.47,0.1,7,black,120.0,,0,64,64,white,draw_polygon,130.png
0.45,0.52,0.4,3,black,210.0,,0,64,64,white,draw_polygon,131.png
0.51,0.52,0.3,4,black,150.0,,0,64,64,white,draw_polygon,132.png
0.5,0.5,0.4,3,black,240.0,,0,64,64,white,draw_polygon,133.png
0.54,0.48,0.2,3,black,210.0,,0,64,64,white,draw_polygon,134.png
0.46,0.46,0.35,4,black,300.0,,0,64,64,white,draw_polygon,135.png
0.49,0.48,0.2,3,black,120.0,,0,64,64,white,draw_polygon,136.png
0.45,0.47,0.15,5,black,60.0,,0,64,64,white,draw_polygon,137.png
0.54,0.53,0.3,7,black,270.0,,0,64,64,white,draw_polygon,138.png
0.49,0.52,0.25,6,black,330.0,,0,64,64,white,draw_polygon,139.png
0.51,0.45,0.45,7,black,90.0,,0,64,64,white,draw_polygon,140.png
0.47,0.49,0.25,3,black,270.0,,0,64,64,white,draw_polygon,141.png
0.45,0.5,0.1,5,black,0.0,,0,64,64,white,draw_polygon,142.png
0.45,0.55,0.2,7,black,120.0,,0,64,64,white,draw_polygon,143.png
0.48,0.48,0.1,6,black,180.0,,0,64,64,white,draw_polygon,144.png
0.5,0.53,0.3,7,black,270.0,,0,64,64,white,draw_polygon,145.png
0.51,0.53,0.4,7,black,90.0,,0,64,64,white,draw_polygon,146.png
0.47,0.49,0.4,6,black,330.0,,0,64,64,white,draw_polygon,147.png
0.54,0.49,0.1,6,black,0.0,,0,64,64,white,draw_polygon,148.png
0.5,0.52,0.35,4,black,240.0,,0,64,64,white,draw_polygon,149.png
0.48,0.52,0.2,7,black,210.0,,0,64,64,white,draw_polygon,150.png
0.47,0.52,0.25,7,black,120.0,,0,64,64,white,draw_polygon,151.png
0.46,0.46,0.3,3,black,180.0,,0,64,64,white,draw_polygon,152.png
0.46,0.48,0.15,3,black,90.0,,0,64,64,white,draw_polygon,153.png
0.51,0.54,0.45,6,black,120.0,,0,64,64,white,draw_polygon,154.png
0.51,0.51,0.15,6,black,300.0,,0,64,64,white,draw_polygon,155.png
0.53,0.45,0.35,5,black,30.0,,0,64,64,white,draw_polygon,156.png
0.47,0.46,0.15,4,black,240.0,,0,64,64,white,draw_polygon,157.png
0.53,0.51,0.2,4,black,210.0,,0,64,64,white,draw_polygon,158.png
0.51,0.53,0.15,7,black,0.0,,0,64,64,white,draw_polygon,159.png
0.51,0.55,0.15,5,black,120.0,,0,64,64,white,draw_polygon,160.png
0.55,0.45,0.45,7,black,60.0,,0,64,64,white,draw_polygon,161.png
0.47,0.55,0.3,6,black,90.0,,0,64,64,white,draw_polygon,162.png
0.48,0.46,0.3,5,black,0.0,,0,64,64,white,draw_polygon,163.png
0.46,0.47,0.35,4,black,60.0,,0,64,64,white,draw_polygon,164.png
0.5,0.47,0.3,6,black,90.0,,0,64,64,white,draw_polygon,165.png
0.47,0.45,0.3,3,black,240.0,,0,64,64,white,draw_polygon,166.png
0.45,0.46,0.3,7,black,90.0,,0,64,64,white,draw_polygon,167.png
0.5,0.5,0.35,6,black,210.0,,0,64,64,white,draw_polygon,168.png
0.54,0.5,0.1,4,black,30.0,,0,64,64,white,draw_polygon,169.png
0.49,0.47,0.4,5,black,0.0,,0,64,64,white,draw_polygon,170.png
0.53,0.46,0.35,3,black,300.0,,0,64,64,white,draw_polygon,171.png
0.5,0.46,0.3,6,black,150.0,,0,64,64,white,draw_polygon,172.png
0.55,0.46,0.1,7,black,60.0,,0,64,64,white,draw_polygon,173.png
0.47,0.45,0.3,4,black,210.0,,0,64,64,white,draw_polygon,174.png
0.52,0.52,0.15,7,black,240.0,,0,64,64,white,draw_polygon,175.png
0.53,0.5,0.45,4,black,0.0,,0,64,64,white,draw_polygon,176.png
0.55,0.45,0.35,4,black,90.0,,0,64,64,white,draw_polygon,177.png
0.5,0.46,0.2,6,black,150.0,,0,64,64,white,draw_polygon,178.png
0.45,0.54,0.25,7,black,330.0,,0,64,64,white,draw_polygon,179.png
0.53,0.51,0.3,7,black,270.0,,0,64,64,white,draw_polygon,180.png
0.55,0.48,0.2,4,black,330.0,,0,64,64,white,draw_polygon,181.png
0.52,0.55,0.2,5,black,210.0,,0,64,64,white,draw_polygon,182.png
0.54,0.47,0.4,5,black,270.0,,0,64,64,white,draw_polygon,183.png
0.47,0.55,0.3,5,black,30.0,,0,64,64,white,draw_polygon,184.png
0.51,0.53,0.3,3,black,270.0,,0,64,64,white,draw_polygon,185.png
0.48,0.52,0.2,5,black,150.0,,0,64,64,white,draw_polygon,186.png
0.5,0.48,0.1,4,black,210.0,,0,64,64,white,draw_polygon,187.png
0.5,0.45,0.45,5,black,0.0,,0,64,64,white,draw_polygon,188.png
0.48,0.52,0.4,5,black,30.0,,0,64,64,white,draw_polygon,189.png
0.54,0.51,0.2,7,black,90.0,,0,64,64,white,draw_polygon,190.png
0.55,0.52,0.25,7,black,60.0,,0,64,64,white,draw_polygon,191.png
0.51,0.55,0.1,5,black,150.0,,0,64,64,white,draw_polygon,192.png
0.52,0.51,0.2,3,black,90.0,,0,64,64,white,draw_polygon,193.png
0.51,0.54,0.1,6,black,120.0,,0,64,64,white,draw_polygon,194.png
0.45,0.52,0.1,4,black,120.0,,0,64,64,white,draw_polygon,195.png
0.55,0.47,0.4,7,black,0.0,,0,64,64,white,draw_polygon,196.png
0.48,0.5,0.45,3,black,240.0,,0,64,64,white,draw_polygon,197.png
0.46,0.48,0.4,5,black,90.0,,0,64,64,white,draw_polygon,198.png
0.45,0.48,0.25,6,black,60.0,,0,64,64,white,draw_polygon,199.png
0.52,0.54,0.15,5,black,120.0,,0,64,64,white,draw_polygon,200.png
0.46,0.53,0.1,3,black,90.0,,0,64,64,white,draw_polygon,201.png
0.49,0.46,0.25,3,black,300.0,,0,64,64,white,draw_polygon,202.png
0.51,0.55,0.2,7,black,270.0,,0,64,64,white,draw_polygon,203.png
0.54,0.45,0.25,7,black,300.0,,0,64,64,white,draw_polygon,204.png
0.55,0.49,0.1,5,black,30.0,,0,64,64,white,draw_polygon,205.png
0.5,0.48,0.4,3,black,300.0,,0,64,64,white,draw_polygon,206.png
0.48,0.45,0.45,4,black,120.0,,0,64,64,white,draw_polygon,207.png
0.47,0.45,0.3,5,black,300.0,,0,64,64,white,draw_polygon,208.png
0.53,0.47,0.15,5,black,300.0,,0,64,64,white,draw_polygon,209.png
0.45,0.55,0.35,7,black,30.0,,0,64,64,white,draw_polygon,210.png
0.49,0.47,0.15,3,black,90.0,,0,64,64,white,draw_polygon,211.png
0.51,0.55,0.35,7,black,120.0,,0,64,64,white,draw_polygon,212.png
0.53,0.51,0.1,3,black,120.0,,0,64,64,white,draw_polygon,213.png
0.51,0.52,0.45,7,black,0.0,,0,64,64,white,draw_polygon,214.png
0.46,0.49,0.3,3,black,210.0,,0,64,64,white,draw_polygon,215.png
0.47,0.55,0.1,6,black,300.0,,0,64,64,white,draw_polygon,216.png
0.51,0.55,0.3,5,black,330.0,,0,64,64,white,draw_polygon,217.png
0.5,0.54,0.2,3,black,270.0,,0,64,64,white,draw_polygon,218.png
0.54,0.55,0.15,4,black,180.0,,0,64,64,white,draw_polygon,219.png
0.5,0.51,0.25,3,black,120.0,,0,64,64,white,draw_polygon,220.png
0.53,0.55,0.1,6,black,90.0,,0,64,64,white,draw_polygon,221.png
0.48,0.49,0.15,4,black,30.0,,0,64,64,white,draw_polygon,222.png
0.45,0.45,0.3,4,black,180.0,,0,64,64,white,draw_polygon,223.png
0.49,0.47,0.15,4,black,300.0,,0,64,64,white,draw_polygon,224.png
0.49,0.52,0.25,7,black,300.0,,0,64,64,white,draw_polygon,225.png
0.45,0.48,0.15,7,black,30.0,,0,64,64,white,draw_polygon,226.png
0.54,0.53,0.2,3,black,150.0,,0,64,64,white,draw_polygon,227.png
0.46,0.53,0.2,7,black,270.0,,0,64,64,white,draw_polygon,228.png
0.54,0.48,0.2,4,black,180.0,,0,64,64,white,draw_polygon,229.png
0.55,0.53,0.25,5,black,30.0,,0,64,64,white,draw_polygon,230.png
0.49,0.55,0.4,7,black,30.0,,0,64,64,white,draw_polygon,231.png
0.47,0.5,0.4,4,black,300.0,,0,64,64,white,draw_polygon,232.png
0.54,0.54,0.2,7,black,0.0,,0,64,64,white,draw_polygon,233.png
0.53,0.49,0.45,7,black,300.0,,0,64,64,white,draw_polygon,234.png
0.45,0.49,0.1,7,black,270.0,,0,64,64,white,draw_polygon,235.png
0.47,0.46,0.35,3,black,240.0,,0,64,64,white,draw_polygon,236.png
0.53,0.46,0.25,3,black,0.0,,0,64,64,white,draw_polygon,237.png
0.55,0.55,0.4,3,black,90.0,,0,64,64,white,draw_polygon,238.png
0.54,0.47,0.4,6,black,90.0,,0,64,64,white,draw_polygon,239.png
0.5,0.47,0.35,5,black,240.0,,0,64,64,white,draw_polygon,240.png
0.46,0.45,0.15,4,black,240.0,,0,64,64,white,draw_polygon,241.png
0.5,0.47,0.2,6,black,210.0,,0,64,64,white,draw_polygon,242.png
0.53,0.52,0.3,3,black,270.0,,0,64,64,white,draw_polygon,243.png
0.48,0.49,0.4,7,black,60.0,,0,64,64,white,draw_polygon,244.png
0.5,0.55,0.3,5,black,120.0,,0,64,64,white,draw_polygon,245.png
0.52,0.49,0.3,5,black,90.0,,0,64,64,white,draw_polygon,246.png
0.53,0.51,0.1,5,black,300.0,,0,64,64,white,draw_polygon,247.png
0.51,0.52,0.3,7,black,120.0,,0,64,64,white,draw_polygon,248.png
0.53,0.55,0.2,7,black,210.0,,0,64,64,white,draw_polygon,249.png
0.51,0.54,0.45,3,black,270.0,,0,64,64,white,draw_polygon,250.png
0.47,0.47,0.2,3,black,60.0,,0,64,64,white,draw_polygon,251.png
0.51,0.5,0.4,6,black,120.0,,0,64,64,white,draw_polygon,252.png
0.51,0.51,0.35,5,black,270.0,,0,64,64,white,draw_polygon,253.png
0.48,0.52,0.35,4,black,120.0,,0,64,64,white,draw_polygon,254.png
0.48,0.48,0.15,7,black,180.0,,0,64,64,white,draw_polygon,255.png
0.46,0.45,0.4,4,black,270.0,,0,64,64,white,draw_polygon,256.png
0.47,0.53,0.45,4,black,330.0,,0,64,64,white,draw_polygon,257.png
0.55,0.54,0.35,5,black,150.0,,0,64,64,white,draw_polygon,258.png
0.45,0.53,0.25,7,black,240.0,,0,64,64,white,draw_polygon,259.png
0.55,0.52,0.45,3,black,210.0,,0,64,64,white,draw_polygon,260.png
0.51,0.46,0.45,6,black,240.0,,0,64,64,white,draw_polygon,261.png
0.49,0.52,0.3,3,black,270.0,,0,64,64,white,draw_polygon,262.png
0.54,0.52,0.1,6,black,60.0,,0,64,64,white,draw_polygon,263.png
0.45,0.47,0.25,5,black,150.0,,0,64,64,white,draw_polygon,264.png
0.55,0.55,0.4,7,black,0.0,,0,64,64,white,draw_polygon,265.png
0.5,0.52,0.2,7,black,330.0,,0,64,64,white,draw_polygon,266.png
0.52,0.5,0.3,7,black,180.0,,0,64,64,white,draw_polygon,267.png
0.5,0.46,0.15,7,black,90.0,,0,64,64,white,draw_polygon,268.png
0.48,0.51,0.4,5,black,240.0,,0,64,64,white,draw_polygon,269.png
0.53,0.5,0.1,3,black,150.0,,0,64,64,white,draw_polygon,270.png
0.48,0.55,0.35,3,black,240.0,,0,64,64,white,draw_polygon,271.png
0.5,0.45,0.3,7,black,240.0,,0,64,64,white,draw_polygon,272.png
0.49,0.48,0.35,6,black,0.0,,0,64,64,white,draw_polygon,273.png
0.54,0.55,0.4,7,black,330.0,,0,64,64,white,draw_polygon,274.png
0.48,0.53,0.2,3,black,90.0,,0,64,64,white,draw_polygon,275.png
0.48,0.49,0.2,7,black,240.0,,0,64,64,white,draw_polygon,276.png
0.49,0.47,0.3,6,black,270.0,,0,64,64,white,draw_polygon,277.png
0.46,0.55,0.45,4,black,90.0,,0,64,64,white,draw_polygon,278.png
0.49,0.53,0.45,4,black,180.0,,0,64,64,white,draw_polygon,279.png
0.45,0.5,0.4,6,black,240.0,,0,64,64,white,draw_polygon,280.png
0.5,0.47,0.2,4,black,120.0,,0,64,64,white,draw_polygon,281.png
0.55,0.46,0.25,7,black,30.0,,0,64,64,white,draw_polygon,282.png
0.53,0.48,0.15,5,black,210.0,,0,64,64,white,draw_polygon,283.png
0.5,0.55,0.15,7,black,60.0,,0,64,64,white,draw_polygon,284.png
0.54,0.49,0.15,6,black,90.0,,0,64,64,white,draw_polygon,285.png
0.51,0.54,0.3,7,black,60.0,,0,64,64,white,draw_polygon,286.png
0.48,0.46,0.45,3,black,90.0,,0,64,64,white,draw_polygon,287.png
0.51,0.52,0.3,5,black,180.0,,0,64,64,white,draw_polygon,288.png
0.48,0.49,0.45,6,black,210.0,,0,64,64,white,draw_polygon,289.png
0.53,0.51,0.2,6,black,330.0,,0,64,64,white,draw_polygon,290.png
0.46,0.46,0.15,4,black,180.0,,0,64,64,white,draw_polygon,291.png
0.49,0.53,0.25,5,black,90.0,,0,64,64,white,draw_polygon,292.png
0.47,0.52,0.35,4,black,180.0,,0,64,64,white,draw_polygon,293.png
0.48,0.48,0.1,4,black,60.0,,0,64,64,white,draw_polygon,294.png
0.55,0.51,0.2,7,black,180.0,,0,64,64,white,draw_polygon,295.png
0.46,0.53,0.45,6,black,270.0,,0,64,64,white,draw_polygon,296.png
0.51,0.47,0.3,7,black,30.0,,0,64,64,white,draw_polygon,297.png
0.49,0.51,0.35,4,black,150.0,,0,64,64,white,draw_polygon,298.png
0.46,0.49,0.1,5,black,300.0,,0,64,64,white,draw_polygon,299.png
0.52,0.52,0.35,6,black,180.0,,0,64,64,white,draw_polygon,300.png
0.5,0.53,0.15,5,black,30.0,,0,64,64,white,draw_polygon,301.png
0.46,0.5,0.3,3,black,150.0,,0,64,64,white,draw_polygon,302.png
0.48,0.49,0.45,3,black,240.0,,0,64,64,white,draw_polygon,303.png
0.52,0.45,0.2,4,black,90.0,,0,64,64,white,draw_polygon,304.png
0.54,0.51,0.1,6,black,150.0,,0,64,64,white,draw_polygon,305.png
0.5,0.5,0.2,7,black,210.0,,0,64,64,white,draw_polygon,306.png
0.45,0.46,0.1,4,black,150.0,,0,64,64,white,draw_polygon,307.png
0.55,0.52,0.15,5,black,120.0,,0,64,64,white,draw_polygon,308.png
0.45,0.5,0.1,5,black,90.0,,0,64,64,white,draw_polygon,309.png
0.48,0.47,0.25,3,black,330.0,,0,64,64,white,draw_polygon,310.png
0.54,0.52,0.45,3,black,60.0,,0,64,64,white,draw_polygon,311.png
0.55,0.51,0.15,4,black,300.0,,0,64,64,white,draw_polygon,312.png
0.46,0.49,0.15,5,black,300.0,,0,64,64,white,draw_polygon,313.png
0.48,0.45,0.4,5,black,60.0,,0,64,64,white,draw_polygon,314.png
0.54,0.5,0.1,6,black,300.0,,0,64,64,white,draw_polygon,315.png
0.51,0.55,0.45,7,black,210.0,,0,64,64,white,draw_polygon,316.png
0.52,0.54,0.3,6,black,150.0,,0,64,64,white,draw_polygon,317.png
0.5,0.54,0.1,7,black,0.0,,0,64,64,white,draw_polygon,318.png
0.45,0.5,0.4,6,black,30.0,,0,64,64,white,draw_polygon,319.png
0.5,0.45,0.3,4,black,330.0,,0,64,64,white,draw_polygon,320.png
0.55,0.45,0.15,6,black,90.0,,0,64,64,white,draw_polygon,321.png
0.45,0.55,0.4,7,black,330.0,,0,64,64,white,draw_polygon,322.png
0.48,0.49,0.35,3,black,120.0,,0,64,64,white,draw_polygon,323.png
0.47,0.5,0.2,7,black,210.0,,0,64,64,white,draw_polygon,324.png
0.49,0.5,0.25,6,black,120.0,,0,64,64,white,draw_polygon,325.png
0.52,0.45,0.15,5,black,0.0,,0,64,64,white,draw_polygon,326.png
0.46,0.54,0.1,3,black,180.0,,0,64,64,white,draw_polygon,327.png
0.52,0.52,0.45,5,black,0.0,,0,64,64,white,draw_polygon,328.png
0.55,0.49,0.2,6,black,180.0,,0,64,64,white,draw_polygon,329.png
0.54,0.52,0.3,3,black,60.0,,0,64,64,white,draw_polygon,330.png
0.46,0.46,0.2,6,black,180.0,,0,64,64,white,draw_polygon,331.png
0.47,0.47,0.3,7,black,330.0,,0,64,64,white,draw_polygon,332.png
0.54,0.46,0.4,4,black,330.0,,0,64,64,white,draw_polygon,333.png
0.51,0.48,0.3,3,black,30.0,,0,64,64,white,draw_polygon,334.png
0.49,0.55,0.1,4,black,60.0,,0,64,64,white,draw_polygon,335.png
0.52,0.51,0.25,4,black,0.0,,0,64,64,white,draw_polygon,336.png
0.53,0.49,0.4,3,black,210.0,,0,64,64,white,draw_polygon,337.png
0.49,0.5,0.2,5,black,150.0,,0,64,64,white,draw_polygon,338.png
0.48,0.52,0.1,3,black,180.0,,0,64,64,white,draw_polygon,339.png
0.45,0.55,0.35,5,black,150.0,,0,64,64,white,draw_polygon,340.png
0.52,0.53,0.2,4,black,240.0,,0,64,64,white,draw_polygon,341.png
0.53,0.52,0.1,6,black,90.0,,0,64,64,white,draw_polygon,342.png
0.53,0.46,0.25,3,black,270.0,,0,64,64,white,draw_polygon,343.png
0.52,0.5,0.3,7,black,60.0,,0,64,64,white,draw_polygon,344.png
0.55,0.55,0.35,4,black,300.0,,0,64,64,white,draw_polygon,345.png
0.45,0.5,0.3,6,black,330.0,,0,64,64,white,draw_polygon,346.png
